iter	Passed	Remaining
0	205	409972
1	362	361752
2	514	342727
3	674	336720
4	833	332377
5	992	329891
6	1163	331290
7	1330	331309
8	1507	333402
9	1680	334385
10	1844	333555
11	2010	333081
12	2177	332826
13	2335	331331
14	2498	330600
15	2652	328959
16	2810	327788
17	2970	327089
18	3132	326556
19	3288	325560
20	3451	325223
21	3617	325265
22	3775	324563
23	3937	324168
24	4109	324646
25	4271	324309
26	4440	324465
27	4600	324035
28	4767	324049
29	4923	323329
30	5085	322998
31	5244	322540
32	5406	322276
33	5557	321374
34	5714	320810
35	5870	320243
36	6033	320110
37	6196	319944
38	6351	319359
39	6512	319106
40	6670	318738
41	6830	318443
42	6992	318241
43	7151	317904
44	7305	317388
45	7456	316720
46	7614	316413
47	7769	315976
48	7928	315692
49	8086	315376
50	8237	314812
51	8396	314540
52	8547	314015
53	8699	313493
54	8851	313012
55	9001	312491
56	9167	312494
57	9323	312189
58	9482	311951
59	9640	311704
60	9796	311404
61	9959	311314
62	10116	311048
63	10266	310576
64	10414	310024
65	10564	309575
66	10714	309133
67	10864	308690
68	11036	308861
69	11196	308690
70	11351	308399
71	11505	308083
72	11661	307839
73	11812	307433
74	11962	307031
75	12118	306790
76	12269	306417
77	12426	306198
78	12580	305917
79	12739	305758
80	12891	305416
81	13048	305217
82	13200	304888
83	13358	304690
84	13507	304311
85	13665	304129
86	13820	303895
87	13969	303524
88	14120	303189
89	14269	302834
90	14426	302638
91	14583	302455
92	14740	302264
93	14900	302124
94	15059	301982
95	15214	301746
96	15365	301447
97	15521	301252
98	15678	301060
99	15835	300876
100	15984	300545
101	16142	300375
102	16289	300015
103	16451	299921
104	16601	299619
105	16758	299437
106	16907	299125
107	17065	298958
108	17218	298710
109	17369	298438
110	17526	298270
111	17681	298067
112	17829	297734
113	17985	297548
114	18142	297373
115	18298	297199
116	18448	296918
117	18603	296704
118	18759	296521
119	18906	296204
120	19057	295946
121	19214	295777
122	19371	295607
123	19518	295302
124	19675	295133
125	19823	294833
126	19977	294635
127	20126	294357
128	20281	294158
129	20435	293959
130	20590	293773
131	20746	293588
132	20894	293314
133	21045	293059
134	21199	292862
135	21351	292634
136	21511	292519
137	21660	292257
138	21815	292069
139	21968	291860
140	22116	291598
141	22272	291420
142	22424	291202
143	22574	290958
144	22725	290728
145	22882	290582
146	23037	290391
147	23189	290179
148	23345	290021
149	23497	289802
150	23652	289624
151	23808	289458
152	23960	289251
153	24111	289021
154	24267	288864
155	24419	288650
156	24570	288431
157	24725	288257
158	24879	288069
159	25031	287859
160	25183	287656
161	25342	287526
162	25499	287381
163	25654	287202
164	25808	287021
165	25965	286868
166	26124	286744
167	26283	286610
168	26436	286424
169	26587	286205
170	26747	286088
171	26898	285875
172	27058	285758
173	27218	285642
174	27375	285483
175	27525	285266
176	27684	285139
177	27836	284937
178	27993	284786
179	28143	284559
180	28301	284417
181	28457	284265
182	28606	284036
183	28765	283900
184	28919	283724
185	29070	283512
186	29227	283370
187	29379	283164
188	29535	283006
189	29693	282867
190	29842	282641
191	29990	282409
192	30142	282214
193	30299	282066
194	30454	281901
195	30611	281752
196	30766	281583
197	30918	281385
198	31076	281248
199	31232	281092
200	31384	280901
201	31542	280761
202	31692	280549
203	31843	280348
204	32000	280200
205	32150	279989
206	32303	279805
207	32454	279610
208	32614	279483
209	32770	279326
210	32926	279171
211	33082	279019
212	33239	278869
213	33389	278659
214	33538	278443
215	33694	278289
216	33851	278142
217	34008	277994
218	34165	277848
219	34322	277699
220	34485	277598
221	34637	277413
222	34795	277272
223	34955	277150
224	35109	276977
225	35266	276823
226	35425	276697
227	35573	276472
228	35728	276313
229	35881	276134
230	36039	275987
231	36199	275868
232	36352	275685
233	36510	275548
234	36657	275321
235	36807	275120
236	36966	274984
237	37117	274794
238	37271	274627
239	37425	274451
240	37578	274278
241	37735	274128
242	37887	273944
243	38040	273770
244	38196	273609
245	38357	273489
246	38523	273406
247	38692	273344
248	38883	273435
249	39043	273303
250	39198	273141
251	39350	272951
252	39500	272753
253	39656	272596
254	39814	272455
255	39961	272240
256	40113	272051
257	40267	271886
258	40424	271736
259	40579	271573
260	40739	271438
261	40898	271305
262	41057	271169
263	41218	271040
264	41368	270846
265	41520	270662
266	41671	270474
267	41822	270287
268	41974	270101
269	42130	269945
270	42284	269777
271	42443	269638
272	42599	269483
273	42750	269297
274	42913	269182
275	43064	268998
276	43219	268831
277	43379	268704
278	43538	268565
279	43691	268387
280	43849	268248
281	44012	268130
282	44162	267937
283	44320	267794
284	44476	267641
285	44634	267494
286	44796	267375
287	44949	267200
288	45108	267061
289	45265	266907
290	45419	266741
291	45574	266581
292	45726	266398
293	45882	266242
294	46042	266107
295	46190	265906
296	46345	265743
297	46492	265540
298	46649	265386
299	46798	265190
300	46953	265030
301	47117	264919
302	47275	264776
303	47428	264599
304	47578	264414
305	47734	264255
306	47886	264078
307	48037	263894
308	48193	263738
309	48344	263556
310	48501	263403
311	48651	263219
312	48800	263023
313	48955	262862
314	49118	262746
315	49280	262621
316	49438	262475
317	49600	262351
318	49761	262223
319	49914	262050
320	50076	261926
321	50235	261786
322	50387	261609
323	50546	261466
324	50703	261316
325	50862	261179
326	51019	261028
327	51177	260882
328	51330	260708
329	51485	260548
330	51642	260395
331	51802	260262
332	51953	260077
333	52109	259923
334	52259	259736
335	52409	259550
336	52564	259389
337	52720	259234
338	52877	259082
339	53028	258902
340	53179	258723
341	53337	258576
342	53501	258460
343	53659	258314
344	53814	258155
345	53973	258010
346	54132	257870
347	54289	257719
348	54447	257572
349	54596	257382
350	54752	257227
351	54907	257068
352	55058	256887
353	55215	256735
354	55365	256553
355	55516	256371
356	55671	256212
357	55820	256024
358	55975	255866
359	56134	255723
360	56286	255552
361	56439	255380
362	56604	255263
363	56760	255111
364	56915	254950
365	57073	254804
366	57230	254651
367	57389	254509
368	57539	254325
369	57695	254172
370	57854	254028
371	58014	253891
372	58169	253729
373	58331	253600
374	58487	253446
375	58641	253279
376	58809	253177
377	58972	253050
378	59135	252926
379	59307	252838
380	59463	252681
381	59619	252526
382	59769	252341
383	59927	252193
384	60080	252024
385	60237	251872
386	60395	251724
387	60550	251565
388	60707	251412
389	60862	251250
390	61015	251085
391	61172	250931
392	61330	250782
393	61482	250612
394	61631	250427
395	61781	250246
396	61937	250090
397	62086	249907
398	62243	249754
399	62394	249578
400	62545	249402
401	62701	249244
402	62860	249102
403	63017	248950
404	63167	248771
405	63325	248623
406	63477	248451
407	63633	248296
408	63790	248143
409	63948	247996
410	64101	247829
411	64252	247652
412	64408	247498
413	64566	247349
414	64723	247195
415	64879	247041
416	65032	246875
417	65189	246722
418	65347	246573
419	65497	246396
420	65655	246245
421	65805	246069
422	65962	245916
423	66122	245776
424	66274	245605
425	66431	245453
426	66587	245296
427	66738	245122
428	66887	244944
429	67045	244794
430	67204	244647
431	67355	244474
432	67511	244318
433	67665	244156
434	67817	243987
435	67974	243836
436	68126	243664
437	68277	243490
438	68429	243322
439	68586	243171
440	68737	242998
441	68895	242848
442	69046	242675
443	69204	242525
444	69360	242373
445	69520	242230
446	69669	242051
447	69825	241895
448	69978	241730
449	70136	241582
450	70286	241405
451	70435	241227
452	70586	241053
453	70736	240877
454	70889	240711
455	71049	240571
456	71207	240423
457	71360	240256
458	71513	240091
459	71662	239912
460	71812	239739
461	71965	239572
462	72122	239422
463	72283	239284
464	72440	239132
465	72597	238979
466	72753	238825
467	72911	238676
468	73067	238520
469	73220	238356
470	73377	238204
471	73529	238036
472	73680	237865
473	73832	237697
474	73988	237543
475	74141	237377
476	74292	237207
477	74443	237034
478	74592	236857
479	74742	236686
480	74892	236510
481	75044	236343
482	75203	236197
483	75356	236033
484	75512	235878
485	75669	235727
486	75826	235577
487	75988	235439
488	76146	235291
489	76301	235132
490	76458	234982
491	76616	234833
492	76773	234681
493	76924	234510
494	77082	234360
495	77240	234212
496	77392	234046
497	77551	233900
498	77706	233742
499	77863	233590
500	78014	233420
501	78163	233244
502	78320	233092
503	78479	232945
504	78630	232776
505	78789	232632
506	78945	232475
507	79097	232310
508	79249	232144
509	79407	231994
510	79559	231828
511	79709	231656
512	79866	231504
513	80024	231355
514	80177	231190
515	80326	231017
516	80483	230864
517	80641	230715
518	80791	230544
519	80942	230375
520	81100	230225
521	81253	230063
522	81411	229914
523	81568	229761
524	81720	229595
525	81878	229445
526	82034	229290
527	82183	229118
528	82336	228953
529	82485	228779
530	82642	228628
531	82797	228470
532	82959	228332
533	83122	228197
534	83278	228043
535	83434	227888
536	83590	227732
537	83740	227561
538	83899	227415
539	84050	227246
540	84200	227075
541	84350	226906
542	84502	226739
543	84662	226597
544	84809	226418
545	84957	226243
546	85114	226089
547	85269	225932
548	85426	225780
549	85573	225603
550	85721	225427
551	85875	225268
552	86030	225110
553	86181	224942
554	86336	224784
555	86485	224614
556	86636	224446
557	86791	224289
558	86946	224131
559	87097	223965
560	87254	223813
561	87405	223646
562	87557	223481
563	87715	223331
564	87871	223177
565	88028	223027
566	88184	222871
567	88339	222715
568	88494	222557
569	88650	222404
570	88807	222253
571	88965	222101
572	89125	221958
573	89276	221791
574	89437	221649
575	89595	221499
576	89755	221356
577	89914	221208
578	90074	221063
579	90226	220899
580	90377	220732
581	90526	220562
582	90673	220386
583	90831	220234
584	90988	220083
585	91139	219917
586	91296	219765
587	91446	219596
588	91604	219446
589	91761	219295
590	91909	219121
591	92061	218956
592	92210	218786
593	92360	218616
594	92510	218448
595	92658	218275
596	92820	218135
597	93001	218039
598	93186	217953
599	93340	217793
600	93496	217640
