iter	Passed	Remaining
0	144	86675
1	151	45341
2	158	31489
3	165	24590
4	171	20412
5	177	17616
6	184	15608
7	190	14110
8	197	12955
9	203	12021
10	209	11242
11	216	10592
12	222	10036
13	228	9568
14	235	9165
15	241	8812
16	247	8490
17	253	8211
18	260	7958
19	266	7733
20	273	7542
21	279	7353
22	286	7190
23	292	7030
24	299	6879
25	305	6736
26	311	6607
27	317	6489
28	323	6375
29	329	6269
30	336	6167
31	342	6072
32	348	5983
33	354	5896
34	360	5816
35	366	5739
36	372	5669
37	378	5596
38	384	5528
39	390	5465
40	396	5407
41	402	5351
42	408	5297
43	415	5245
44	421	5198
45	427	5151
46	433	5105
47	439	5059
48	446	5017
49	452	4975
50	459	4942
51	465	4902
52	471	4863
53	477	4826
54	483	4790
55	489	4756
56	495	4722
57	501	4691
58	508	4658
59	514	4626
60	520	4597
61	526	4569
62	532	4541
63	538	4511
64	544	4484
65	551	4459
66	557	4433
67	563	4408
68	569	4383
69	575	4359
70	582	4337
71	588	4314
72	594	4292
73	600	4270
74	607	4249
75	613	4233
76	620	4211
77	626	4192
78	632	4171
79	638	4151
80	645	4136
81	651	4115
82	657	4097
83	664	4079
84	670	4062
85	676	4044
86	682	4027
87	689	4009
88	695	3992
89	701	3974
90	709	3968
91	715	3952
92	721	3935
93	728	3920
94	734	3905
95	740	3889
96	746	3873
97	752	3857
98	759	3841
99	765	3826
100	771	3811
101	778	3798
102	784	3786
103	790	3771
104	797	3757
105	803	3743
106	809	3728
107	816	3718
108	822	3707
109	829	3694
110	835	3682
111	842	3670
112	848	3658
113	856	3651
114	862	3639
115	869	3626
116	875	3613
117	881	3602
118	888	3589
119	894	3577
120	900	3563
121	906	3552
122	912	3540
123	919	3527
124	925	3515
125	931	3503
126	937	3491
127	943	3480
128	950	3470
129	956	3459
130	963	3447
131	969	3436
132	975	3425
133	981	3414
134	988	3403
135	994	3392
136	1000	3381
137	1006	3370
138	1012	3359
139	1019	3348
140	1025	3337
141	1031	3327
142	1037	3316
143	1043	3305
144	1050	3294
145	1056	3284
146	1062	3274
147	1068	3264
148	1075	3254
149	1081	3244
150	1087	3234
151	1093	3223
152	1099	3213
153	1106	3204
154	1112	3194
155	1118	3184
156	1125	3174
157	1131	3164
158	1137	3155
159	1143	3145
160	1149	3135
161	1156	3126
162	1162	3116
163	1168	3107
